i386 Intel i386
i486 Intel i486
i586 Intel i586
i686 Intel i686
i786 Intel i786
x86_64 Intel x86_64
amd64 AMD64
x86 x86
x64 x64
i86pc i86pc
arm ARM
armv5tejl ARMv5tejl
armv6tejl ARMv6tejl
armv7tejl ARMv7tejl
armv5tel ARMv5tel
armv6tel ARMv6tel
armv7tel ARMv7tel
armv5l ARMv5l
armv6l ARMv6l
armv7l ARMv7l
arm64 ARM64
sparc Sparc
sparc64 Sparc 64
powerpc PowerPC
ppc PowerPC
ppc64 PowerPC 64
alpha Alpha
mips Mips
sh4 SH4
ti8148 Ti8148
