#iPhone|Phone|iPhone|iPhone
#iPad|Tablet|iPad|iPad
#iPod|Phone|iPod|iPod
#iPod touch|Phone|iPod touch|iPod touch

# Based on:
# https://support.hockeyapp.net/kb/client-integration-ios-mac-os-x-tvos/ios-device-types
# https://www.theiphonewiki.com/wiki/Models
# https://gist.github.com/adamawolf/3048717

# DEVICE TYPE PRODUCT NAME
iPad3,2|Tablet|iPad|iPad (3rd gen, Wi-Fi+LTE Verizon)
iPad3,3|Tablet|iPad|iPad (3rd gen, Wi-Fi+LTE AT&T)
iPad3,4|Tablet|iPad|iPad (4th gen, Wi-Fi)
iPad3,5|Tablet|iPad|iPad (4th gen, A1459)
iPad3,6|Tablet|iPad|iPad (4th gen, A1460)
iPad4,1|Tablet|iPad|iPad Air (Wi-Fi)
iPad4,2|Tablet|iPad|iPad Air (Wi-Fi+LTE)
iPad4,3|Tablet|iPad|iPad Air (Rev)
iPad4,4|Tablet|iPad|iPad mini 2 (Wi-Fi)
iPad4,5|Tablet|iPad|iPad mini 2 (Wi-Fi+LTE)
iPad4,6|Tablet|iPad|iPad mini 2 (Rev)
iPad4,7|Tablet|iPad|iPad mini 3 (Wi-Fi)
iPad4,8|Tablet|iPad|iPad mini 3 (A1600)
iPad4,9|Tablet|iPad|iPad mini 3 (A1601)
iPad5,1|Tablet|iPad|iPad mini 4 (Wi-Fi)
iPad5,2|Tablet|iPad|iPad mini 4 (Wi-Fi+LTE)
iPad5,3|Tablet|iPad|iPad Air 2 (Wi-Fi)
iPad5,4|Tablet|iPad|iPad Air 2 (Wi-Fi+LTE)
iPad6,3|Tablet|iPad|iPad Pro (9.7 inch) (Wi-Fi)
iPad6,4|Tablet|iPad|iPad Pro (9.7 inch) (Wi-Fi+LTE)
iPad6,7|Tablet|iPad|iPad Pro (12.9 inch) (Wi-Fi)
iPad6,8|Tablet|iPad|iPad Pro (12.9 inch) (Wi-Fi+LTE)
iPad6,11|Tablet|iPad|iPad (2017)
iPad6,12|Tablet|iPad|iPad (2017)

iPad7,1|Tablet|iPad|iPad Pro (2nd Gen, WiFi)
iPad7,2|Tablet|iPad|iPad Pro (2nd Gen, WiFi+Cellular)
iPad7,3|Tablet|iPad|iPad Pro (10.5 inch, A1701)
