# DeviceTypePrefix BrandName
Samsung|Samsung
Galaxy|Samsung
GT-|Samsung
SM-|Samsung
LG-|LG
HTC|HTC
HUAWEI|Huawei
Ascend|Huawei
AG |AG Mobile
AKAI|AKAI
ALCATEL|Alcatel
Amazon|Amazon
Archos|Archos
ASUS|Asus
AT-|Wolfgang Mobile
Avea|Avea
Avvio|Avvio
Azumi|Azumi
Desire|HTC
Lenovo|Lenovo
Nexus|Google
Panasonic|Panasonic
Philips|Philips
SonyEricsson|SonyEricsson
Xperia|Sony
D5|Sony
C6|Sony
A0001|One Plus
XT|Motorola
